name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
Biblioteket Live,Jazz Bar,"Medborgarplatsen 2, 118 26 Stockholm, Sweden",59.3145336,18.071797999999998,3.7,800,MODERATE,,08-30 60 90,http://biblioteketlive.se/,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: Closed,ChIJ6Xl0YBh3X0YRDBwxM6J8UJo
Fasching,Jazz Bar,"Kungsgatan 63, 111 22 Stockholm, Sweden",59.333428299999994,18.055935899999998,4.4,1646,MODERATE,"Renowned jazz club staging emerging talent & international legends, plus a balcony restaurant & bar.",08-20 00 66,http://www.fasching.se/,,ChIJgV3AKGGdX0YR5IUhAufGRsM
Marie Laveau,Karaoke Bar,"Hornsgatan 66b, 118 21 Stockholm, Sweden",59.318571299999995,18.0591223,3.7,430,MODERATE,"Lively restaurant & bar with a menu of Cajun/Creole-inspired dishes, plus kids' options.",08-668 85 00,,Monday: 3:00 PM – 3:00 AM; Tuesday: 3:00 PM – 3:00 AM; Wednesday: 3:00 PM – 3:00 AM; Thursday: 3:00 PM – 3:00 AM; Friday: 3:00 PM – 3:00 AM; Saturday: 3:00 PM – 3:00 AM; Sunday: 3:00 PM – 3:00 AM,ChIJzVbDYuZ3X0YRbKSY_5BNVz4
Troll Stockholm,Karaoke Bar,"Hornsgatan 66b, 118 21 Stockholm, Sweden",59.318552,18.059019,3.8,37,,,08-668 85 00,https://www.trollstockholm.com/,Monday: 3:00 PM – 3:00 AM; Tuesday: 3:00 PM – 3:00 AM; Wednesday: 3:00 PM – 3:00 AM; Thursday: 3:00 PM – 3:00 AM; Friday: 3:00 PM – 3:00 AM; Saturday: 1:00 PM – 3:00 AM; Sunday: 1:00 PM – 3:00 AM,ChIJyeOf1yZ3X0YRRj4kW6a3blc
Moyagi,Karaoke Bar,"Brunkebergstorg 3, 111 51 Stockholm, Sweden",59.330871599999995,18.0661918,4.5,697,,,08-425 043 70,https://moyagi.com/,Monday: Closed; Tuesday: Closed; Wednesday: 5:00 PM – 1:00 AM; Thursday: 5:00 PM – 1:00 AM; Friday: 5:00 PM – 3:00 AM; Saturday: 5:00 PM – 3:00 AM; Sunday: Closed,ChIJJ20E8l6dX0YR5qtB6vI9be8
K Karaoke,Karaoke Bar,"Odengatan 87, 113 22 Stockholm, Sweden",59.3416249,18.046908000000002,3.7,506,,,08-33 12 36,http://www.kkaraoke.se/,Monday: Closed; Tuesday: Closed; Wednesday: 7:00 PM – 1:00 AM; Thursday: 7:00 PM – 1:00 AM; Friday: 7:00 PM – 3:00 AM; Saturday: 6:00 PM – 3:00 AM; Sunday: Closed,ChIJnwQTAXCdX0YRB3fRxjBiiS4
Pinocchio kök och bar,Karaoke Bar,"Östgötagatan 32, 116 25 Stockholm, Sweden",59.3130939,18.077104400000003,4,147,MODERATE,,073-346 74 35,,Monday: 4:00 PM – 1:00 AM; Tuesday: 4:00 PM – 1:00 AM; Wednesday: 4:00 PM – 1:00 AM; Thursday: 4:00 PM – 1:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: Closed,ChIJ_UgAI6B3X0YRVgarI7ZA0ng
Harry B James,Karaoke Bar,"Kungsträdgården, 111 47 Stockholm, Sweden",59.331739000000006,18.0704142,3.8,2476,MODERATE,,08-21 86 00,http://www.harrybjames.se/,Monday: 12:00 PM – 3:00 AM; Tuesday: 12:00 PM – 3:00 AM; Wednesday: 12:00 PM – 3:00 AM; Thursday: 12:00 PM – 3:00 AM; Friday: 12:00 PM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: 12:00 PM – 3:00 AM,ChIJh0DFL1ydX0YRT114Y88BMBo
The Secret Garden,Karaoke Bar,"Kornhamnstorg 59, 111 27 Stockholm, Sweden",59.3226066,18.0720809,3.2,1675,MODERATE,"Upbeat gay bar with a lounge & outdoor seating, serving global mains & nibbles, plus veggie options.",08-20 99 02,http://www.secretgardensthlm.se/,Monday: 11:00 AM – 3:00 AM; Tuesday: 11:00 AM – 3:00 AM; Wednesday: 11:00 AM – 3:00 AM; Thursday: 11:00 AM – 3:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 11:00 AM – 3:00 AM; Sunday: 11:00 AM – 3:00 AM,ChIJt3jcI-N3X0YRpewujfERgY4
KL Terrassen @ Kollektivet Livet Bar & Scen,Karaoke Bar,"Stadsgårdsterminalen, 116 45 Stockholm, Sweden",59.319304800000005,18.0783698,4.3,32,,,,https://kollektivetlivet.se/,Monday: Closed; Tuesday: Closed; Wednesday: 4:00 – 11:00 PM; Thursday: 4:00 – 11:00 PM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: Closed,ChIJg9NmKQF3X0YR2sh8Fk6WuYA
